描述,几室几厅,高低层,朝向,建筑年代,所属小区,所属片区,地址,最近地铁站,建筑面积,整套价格,平方价格
房山长阳 为您而选 加州水郡精装两居 户型方正 业主诚心出售,2室1厅,中层(共14层),西北向,2010,加州水郡西区,长阳,京周路和京良路交汇处西南角(华冠天地西侧),无,89,250,28233
长阳 篱笆房站边 急售芭蕾雨大3居 满五年 看房方便,3室2厅,高层(共9层),南北向,2010,芭蕾雨悦都,长阳,长阳镇悦盛路5号院,距房山线篱笆房站约732米,123,500,40650
房山长阳半岛4号院 3室1厅 随时看 楼层 保持 位置好,3室1厅,高层(共9层),南北向,2012,长阳半岛,长阳,长阳镇京良路南侧 京良环岛东行约3公里,距房山线长阳站约929米,96,420,43641
新出精装双拼 全屋地暖 200平米花园 客厅6.5米挑空 价格低!,5室4厅,低层(共3层),南向,2005,优山美地,中央别墅区,后沙峪镇白辛 新国展对面榆阳路4号,无,419,2799,66745
华清嘉园三室二厅一卫,3室2厅,高层(共18层),东北向,2002,华清嘉园,五道口,五道口西侧清华东门对面,距13号线五道口站约248米,90,1020,112807
华清嘉园一室一厅一卫,1室1厅,中层(共18层),西向,2002,华清嘉园,五道口,五道口西侧清华东门对面,距13号线五道口站约248米,37,520,139560
西观山景 明厨明卫 南北双阳台 高层采光 视野好,3室2厅,高层(共10层),东西向,2016,万科如园,西北旺,西北旺镇永丰路与后厂村路交界东南角,无,228,2200,96424
羊坊店居民楼二室一厅一卫,2室1厅,中层(共6层),南向,1990,羊坊店居民楼小区,军博,海淀区复兴路甲1号,距1号线军事博物馆站约593米,50,420,84524
单价10万 低于同户型1000万带独立保姆间 全新房 随时看房,4室2厅,低层(共29层),南北向,2010,合生·霄云路8号,燕莎,四环内霄云路8号,距14号线东风北桥站约1073米,450,4999,111089
东方普罗旺斯 555平米价格3500万,4室3厅,低层(共1层),南向,2005,东方普罗旺斯,北七家,北七家出口1000米定泗路88号,无,556,3599,64770
东二环正规小三居 中层 视野无遮挡 每个空间都很合适,3室2厅,中层(共26层),西北向,2002,当代万国城,东直门,东直门香河园路1号院(香河园中街南侧 香河园,距2号线东直门站约766米,140,1600,114237
新出!高层206平3居 南北西三面采光 视野开阔,3室2厅,高层(共28层),南北向,2011,广渠路金茂府,百子湾,广渠路与东四环中路交叉点西北角,距7号线大郊亭站约225米,206,2699,131019
新出!三卧朝南+书房+保姆间+保养好+有可谈空间,3室2厅,中层(共19层),南向,2000,国悦府,公主坟,复兴路51号长安街上万寿路口,距1号线万寿路站约188米,272,2449,90193
长安街 纯南北通透 3梯2户 仅74户 智能家居 带进口家具,3室2厅,中层(共7层),南北向,2008,霞公府,王府井,王府井霞公府7号,距5号线灯市口站约771米,445,5550,124719
五环独栋 少见汉唐风 退台设计 独门独院 同和光尘樾,4室4厅,低层(共3层),南向,2016,首城珑玺,朝青,五环七棵树出口北行300米,无,380,3933,103500
西三环次新房精装3居室 双卧室客厅朝南,3室2厅,低层(共10层),南北向,2015,京投银泰琨御府,公主坟,蓝靛厂南路与玲珑路交汇处西北角 昆玉河岸西侧,距6号线慈寿寺站约134米,165,2199,133613
南北东三面采光大3居 客厅 明厨带阳台 南侧大主卧 高层观景,3室2厅,中层(共35层),东向,2003,公园大道,朝阳公园,朝阳公园南路与东四环中路交叉点西南角,距14号线朝阳公园站约776米,255,2559,100353
新出东边户 南花园200平 六居室设计 精装修 保养好,5室4厅,低层(共1层),南向,2009,龙湖滟澜山,中央别墅区,后沙浴镇古城村火沙路南侧,无,262,2799,106832
唐宁三室二厅二卫,3室2厅,高层(共30层),东西向,2008,唐宁ONE,五道口,中关村甲3号,距13号线五道口站约548米,186,2398,129022
四环独栋别墅+高尔夫球场边+精装保养好+北入户南花园带地暖,4室2厅,低层(共2层),南向,2000,CBD高尔夫球会别墅,高碑店,高碑店路99号(京沈高速第2个出口),无,397,2699,68052
新出房!中高层南北三居+私家电梯入户+重新装修+南北双阳台,3室2厅,中层(共26层),南北向,2002,当代万国城,东直门,东直门香河园路1号院(香河园中街南侧 香河园,距2号线东直门站约766米,190,1999,105410
总价低点 再降20万!1999万入住远洋万和公馆,2室2厅,中层(共23层),南北向,2014,远洋万和公馆,望京,阜通东大街(保利万和电影院向北100米、大望,距15号线望京东站约864米,172,1860,108140
新出东边户 350平米花园 照片实拍 可以直接入住!可看6套!,6室6厅,低层(共2层),南向,2009,龙湖滟澜山,中央别墅区,后沙浴镇古城村火沙路南侧,无,261,2880,110345
全新房未住 高楼层观西山 三卧室朝南 三面采光,4室2厅,高层(共10层),南北向,2013,万科如园,西北旺,西北旺镇永丰路与后厂村路交界东南角,无,297,2799,94236
楼间距80米 人车分流 主卧室带明卫 不临街中高楼层采光无遮挡,2室2厅,高层(共11层),南北向,2007,玉泉新城,玉泉路,玉泉路以西 海淀区玉泉路与阜石路交汇处西南角,无,136,1020,74764
金地格林 南北通透 大两居 采光视野好 出行方便,2室2厅,高层(共4层),南北向,2004,金地格林小镇,亦庄,亦庄天宝中街2号(科慧大道南侧),无,111,650,58786
国贸东南2000米 次新房 单价11.8万 价格能聊!有车位!,3室2厅,低层(共28层),南北向,2011,广渠路金茂府,百子湾,广渠路与东四环中路交叉点西北角,距7号线大郊亭站约225米,206,2399,116456
可谈次顶层 明厨双明卫 低税 可谈 远洋万和公馆金茂府,3室3厅,高层(共28层),南北向,2014,远洋万和公馆,望京,阜通东大街(保利万和电影院向北100米、大望,距15号线望京东站约864米,210,2550,121429
新中式精装合院别墅 万科打造 加推新品啦 主卧带露台,5室3厅,低层(共1层),南向,2017,观承别墅,中央别墅区,京承高速8号出口路东,无,385,2815,73117
澳林春天三期三室二厅二卫,3室2厅,高层(共7层),南北向,2003,澳林春天,奥林匹克公园,朝阳区林萃西里林萃路与科荟路交汇处西北角,距8号线林萃桥站约1147米,135,1160,86124
北三环有研新院内 满五年一套公房 东西南北想温馨三居室诚售,3室2厅,低层(共18层),东北向,1999,有研家属院,北太平庄,北三环中路43号院,距10号线牡丹园站约559米,100,1000,99731
塔院晴冬园一室一厅一卫,1室1厅,中层(共18层),南北向,1990,塔院,牡丹园,塔院牡丹园花园路3号,距10号线西土城站约769米,44,390,87858
新风南里南北通透 把边有窗户 有15平米免费送 有,2室1厅,高层(共5层),东南向,1978,新风南里,德胜门,新风街以南 三帆中学对面,无,49,750,153689
胜古南里二室一厅一卫,2室1厅,中层(共6层),南北向,1980,胜古南里,安贞,北京朝阳区北三环东路胜古南里,距5号线和平西桥站约465米,53,450,85438
科技新装 一生一宅 不临街 中高层 一梯一户 三面观景,4室3厅,中层(共21层),南北向,2014,广渠金茂府,百子湾,广渠路与东四环中路交叉点西北角,距7号线大郊亭站约225米,390,5400,138387
禾风相府二室一厅一卫,2室1厅,中层(共10层),东向,2005,禾风相府,朝阳门内,前拐棒胡同28号(老外交部对面),距5号线东四站约511米,95,1100,115692
可大刀 临 安静不临街 主卧带阳台 卫生间干湿分离,2室2厅,高层(共28层),东南向,2001,望京明苑,望京,望京广顺北大街36号,距14号线望京站约604米,113,730,64402
上地东里 首付390 南北通透一居 3层 满5 看房有惊喜,1室1厅,中层(共6层),南北向,1998,上地东里,上地,上地南路与信息路交汇处东行90米路北,距13号线上地站约671米,45,630,140312
低总价 一居室 155万买温馨一居室 您还等什么,1室1厅,高层(共18层),无,2012,南海家园,亦庄,大兴亦庄开发区泰河一街(黄亦路与三海子东路交,无,50,155,31000
美丽乡村独栋别墅满两年低价出售,5室4厅,低层(共2层),无,2008,美丽乡村,燕郊,燕郊经济技术开发区迎宾南路西侧,无,348,1100,31609
八角北路二室一厅一卫,2室1厅,中层(共6层),南北向,1987,八角北路,八角,八角北路与八角西街交叉路口西南角(北方工业大,距1号线古城站约945米,56,280,50161
领秀慧谷区南北通透大三居 原值440万 缴契税,3室2厅,中层(共15层),南北向,2012,领秀慧谷,回龙观,京藏高速(原八达岭高速)和北清路交汇处 辛庄,距昌平线朱辛庄站约1194米,139,850,60962
西二旗智学苑精装两居 可当三居 采光无遮挡 商品房满五年且一套,2室1厅,高层(共24层),东南向,2000,智学苑,西二旗,西二旗地铁站东侧200米,距13号线西二旗站约584米,98,580,59093
新 世茂奥临花园 南北通透三居室 3米6 俯视全景奥森,3室2厅,高层(共31层),南北向,2007,世茂奥临花园,北苑,北京市朝阳区清林路一号,无,202,2150,106262
知春里 精装三居 南北向 中间楼层,3室1厅,低层(共6层),南北向,1995,知春东里,知春路,知春路路口以南约70米路东,距10号线知春里站约466米,81,630,77778
万科长阳半岛2号院满五为一明厨明卫精装诚售,2室1厅,低层(共28层),西北向,2011,长阳半岛,长阳,长阳镇京良路南侧 京良环岛东行约3公里,距房山线长阳站约929米,89,370,41789
方庄站西侧正规2居 明厨明卫 客厅带弧形窗采光面大 高楼层,2室1厅,中层(共25层),西北向,1995,芳城园一区,方庄,左安门西滨河路与方庄路交汇处西行200米路南,距14号线方庄路站约547米,67,400,59701
全明格局 临 主次卧分离 带储藏间 高层采光好 不临街,2室2厅,中层(共30层),南向,2000,望京新城,望京,望京西园四区,距14号线阜通站约612米,107,680,63551
金谷香郡南北通透三居室 采光好无遮挡 价格能谈!,3室1厅,高层(共6层),南北向,2012,金谷香郡,高井,五里坨石门路与隆恩寺路交汇处西北侧,无,81,395,48621
大两居的价格买个三居房子还带钥匙 前后不临街 下楼临学.校,3室1厅,中层(共6层),南北向,1988,双榆树东里,双榆树,联想桥科学院南路与学院南路口东南角,距4号线人民大学站约888米,72,660,91794
西二旗 龙泽 融泽嘉园 西城育祥 161 棉花胡同,3室1厅,中层(共34层),无,2014,融泽嘉园,龙泽,西二旗北侧龙域中路金域华府北面,无,108,520,48148
文成载道 成寿寺162南北大三居 两梯两户 封闭社区 价格能聊,3室2厅,中层(共17层),南北向,2000,文成建筑,方庄,横道沟西街2号,距10号线成寿寺站约687米,162,1050,64815
原来房 西山美墅馆 下叠拼 三卧南 业主出国 价格私聊,4室2厅,低层(共1层),南向,2006,西山美墅馆,西山,四季青桥南旱河路301号院,无,206,2300,111596
金茂府獨特户型 带花园下跃!业主包税!送地下!3天就卖,4室3厅,中层(共11层),南北向,2016,亦庄金茂府,亦庄,亦庄经济开发区博兴西路与泰河三街交叉口 (南,无,198,900,45455
清境明湖东北向3居室+随时可看+随时签约,3室2厅,中层(共7层),东北向,2000,清境明湖,朝阳公园,朝阳公园西路5号,距14号线枣营站约363米,166,1240,74681
星岛假日南北通透一层带花园三居,3室2厅,低层(共5层),南北向,2005,星岛假日,亦庄,富园东里二区(文化园西路与科慧大道交叉口向西,距亦庄线亦庄桥站约251米,169,850,50257
优选房 点击进店铺太阳公元 三居室 在售,3室2厅,低层(共25层),南北向,2012,太阳公元,太阳宫,太阳宫北街与西坝河路交叉点西南角,距10号线芍药居站约710米,175,2700,154286
凤凰城 +错层只要契税 +市值1500以上,3室2厅,中层(共34层),东西向,2008,凤凰城三期,三元桥,曙光西里甲5号院,距10号线三元桥站约487米,173,1090,63079
富力城 西南两居 业主二次装修 看房方便,2室1厅,低层(共12层),南北向,2000,富力城B区,双井,双井桥西北侧(国贸桥向南约700米),距10号线双井站约606米,95,900,94987
阳光北里正规南向一居室 户型方正 中间楼层 采光好 通风好!,1室1厅,中层(共18层),南向,1998,清河毛纺厂南小区,清河,毛纺路西侧 朱房路南侧,无,61,378,62479
房子正南北 花园方正500平 东普总价低的房源,4室3厅,低层(共1层),南向,2005,东方普罗旺斯,北七家,北七家出口1000米定泗路88号,无,547,2479,45351
文慧园二室二厅一卫,2室2厅,高层(共18层),南向,2003,文慧园,小西天,文慧园南路2号,距4号线新街口站约1120米,101,860,85479
七家地产 新上中装通透小两居 低总价 明厨明卫全名格局 采光好,2室2厅,低层(共18层),南北向,2013,大兴育新花园,黄村东,采育镇育盛街与福源路交叉路口南侧(葡萄庄园南,无,73,180,24520
松榆东里三室一厅一卫,3室1厅,中层(共6层),南北向,1995,松榆东里,潘家园,松榆南路与西大望路交汇处西北角(北京工业大学,距14号线北京工业大学站约344米,75,435,57969
石景山 西五环 精装三居 八大处配套成熟的大型社区 低价急售,3室2厅,低层(共11层),南北向,2005,西山枫林,八大处,香山南路168号(一期、二期) 香山南路16,无,125,640,51016
五棵松南 西四环 郑常庄 南北通透 小两居,2室1厅,低层(共7层),南北向,1995,郑常庄308号院,青塔,郑常庄308号院,无,56,325,57912
朗琴园 东西通透两居室正对花园中间楼层,2室2厅,中层(共16层),东西向,2005,朗琴园,广安门,手帕口南街1号院,距7号线达官营站约755米,110,1200,108627
新华联家园北区一室一厅一卫,1室1厅,低层(共12层),南向,2004,新华联家园,果园,运河西大街30号(果园地铁站附近),距八通线果园站约493米,75,370,49274
单价5万!南北两居!婚房装修!未住!一梯两户!满2年!随时看,2室1厅,中层(共16层),南北向,2013,园博嘉园,京石高速,长辛店万兴路4号院,距14号线张郭庄站约507米,88,440,50177
芍药居北里二区一室一厅一卫,1室1厅,中层(共24层),北向,2000,芍药居北里,芍药居,文学馆路 中煤信息大厦西北侧 北京市朝阳区芍,距10号线芍药居站约1058米,64,380,59006
大两居的价格买个三居房子还带钥匙 前后不临街 下楼临学.校,3室1厅,中层(共6层),南北向,1988,双榆树东里,双榆树,联想桥科学院南路与学院南路口东南角,距4号线人民大学站约888米,72,660,91794
